0,1,2,3,4,5,6,7
卢克-朗利,28,22.0,6.8,3.8,1.2,0.7,0.5
罗恩-哈珀,33,27.0,4.8,4.5,2.3,1.0,1.0
史蒂夫-科尔,31,19.5,4.3,0.8,1.0,0.7,0.2
丹尼斯-罗德曼,35,27.2,2.3,7.7,1.5,0.7,0.2
尤德-比希勒,28,8.7,1.7,1.2,0.3,0.5,0.0
兰迪-布朗,28,4.8,0.8,0.2,0.2,0.2,0.2
贾森-卡菲,23,3.6,0.0,0.4,0.2,0.0,0.0
1997NBA总决赛爵士 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
卡尔-马龙,33,40.8,23.8,10.3,3.5,1.7,0.3
约翰-斯托克顿,34,37.7,15.0,4.0,8.8,2.0,0.5
杰夫-霍纳塞克,33,34.2,12.0,3.5,2.2,0.7,0.0
布莱恩-拉塞尔,26,39.0,11.3,5.8,0.7,0.8,0.2
格雷格-福斯特,28,15.8,5.5,3.5,0.7,0.3,0.3
霍华德-埃斯利,24,10.3,5.3,0.7,2.5,0.2,0.0
格雷格-奥斯特塔格,23,22.0,4.3,7.3,0.3,0.5,1.5
克里斯-莫里斯,31,11.7,3.5,1.7,0.2,0.3,0.5
安托万-卡尔,35,9.7,3.0,1.7,0.8,0.0,0.0
山顿-安德森,23,20.8,4.3,1.8,0.5,1.0,0.0
亚当-基夫,26,7.5,0.8,1.8,0.3,0.3,0.3
1996NBA总决赛公牛 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
迈克尔-乔丹,32,42.0,27.3,5.3,4.2,1.7,0.2
斯科蒂-皮蓬,30,41.3,15.7,8.2,5.3,2.3,1.3
托尼-库科奇,27,29.5,13.0,4.8,3.5,0.8,0.3
卢克-朗利,27,28.3,11.7,3.8,2.2,0.5,1.8
丹尼斯-罗德曼,34,37.5,7.5,14.7,2.5,0.8,0.2
罗恩-哈珀,32,19.3,6.5,2.2,1.7,0.7,0.3
史蒂夫-科尔,30,18.8,5.0,0.8,0.8,0.2,0.0
兰迪-布朗,27,8.2,2.8,0.3,0.8,0.7,0.0
比尔-温宁顿,32,7.0,2.8,0.5,0.2,0.0,0.0
尤德-比希勒,27,5.5,0.7,0.0,0.2,0.7,0.0
约翰-萨利,31,3.0,0.0,0.2,0.4,0.0,0.0
1996NBA总决赛西雅图超音速 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
肖恩-坎普,26,40.3,23.3,10.0,2.2,1.3,2.0
加里-佩顿,27,45.7,18.0,6.3,7.0,1.5,0.0
德特勒夫-施伦普夫,33,39.7,16.3,5.0,2.5,0.5,0.2
赫塞-霍金斯,29,38.3,13.3,3.5,1.0,1.2,0.2
萨姆-帕金斯,34,31.7,11.2,4.7,2.0,0.5,0.0
大卫-温盖特,32,8.0,2.5,0.3,0.0,0.0,0.0
内特-麦克米兰,31,12.8,2.8,2.8,1.5,0.5,0.0
文森特-艾斯丘,29,15.5,1.8,2.5,0.5,0.5,0.0
弗兰克-布里克考斯基,36,11.3,0.8,2.0,0.5,0.2,0.2
埃尔文-约翰逊,28,6.7,1.3,2.3,0.3,0.3,0.3
史蒂夫-谢夫勒,28,2.0,0.0,0.5,0.0,0.0,0.0
埃里克-斯诺,22,1.5,0.0,0.3,0.2,0.0,0.0
1995NBA总决赛火箭 (4-0)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
哈基姆-奥拉朱旺,32,44.8,32.8,11.5,5.5,2.0,2.0
克莱德-德雷克斯勒,32,40.5,21.5,9.5,6.8,1.0,0.3
罗伯特-霍里,24,46.8,17.8,10.0,3.8,3.0,2.3
马里奥-艾利,31,40.3,16.3,4.3,3.3,2.0,0.0
萨姆-卡塞尔,25,23.3,14.3,1.8,3.0,1.8,0.0
肯尼-史密斯,29,26.3,7.5,1.8,4.0,0.3,0.0
查基-布朗,26,9.5,3.0,2.8,0.0,0.0,0.5
查尔斯-琼斯,37,14.3,1.0,1.8,0.0,0.0,0.0
皮特-奇尔卡特,26,1.0,0.0,0.0,0.0,0.0,0.0
1995NBA总决赛魔术 (0-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
沙奎尔-奥尼尔,22,45.0,28.0,12.5,6.3,0.3,2.5
安芬尼-哈达威,23,43.0,25.5,4.8,8.0,1.0,0.8
霍雷斯-格兰特,29,42.0,13.5,12.0,1.5,0.5,0.5
布莱恩-肖,28,21.0,12.5,3.3,3.3,0.5,0.3
尼可-安德森,27,40.3,12.3,8.5,4.3,2.0,0.5
丹尼斯-斯科特,26,37.5,10.5,3.5,2.3,1.0,0.3
安东尼-鲍伊,31,6.5,3.3,0.5,1.5,0.0,0.3
杰夫-特纳,32,10.8,1.5,1.0,0.5,0.0,0.0
唐纳德-洛耶尔,28,1.0,0.0,0.0,0.0,0.0,0.0
1994NBA总决赛火箭 (4-3)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
哈基姆-奥拉朱旺,31,43.1,26.9,9.1,3.6,1.6,3.9
弗农-马克斯韦尔,28,37.7,13.4,3.3,2.9,0.6,0.0
罗伯特-霍里,23,37.9,10.3,6.1,3.7,1.3,0.6
萨姆-卡塞尔,24,22.6,10.0,3.1,2.9,1.3,0.3
奥蒂斯-索普,31,39.6,9.3,11.3,3.3,0.9,0.0
卡尔-埃雷拉,27,17.3,7.1,3.6,0.4,0.4,0.1
肯尼-史密斯,28,25.4,5.6,1.4,3.1,0.7,0.0
马里奥-艾利,30,11.3,2.4,1.0,1.0,0.3,0.1
马特-布拉德,26,13.5,4.0,3.0,0.0,0.5,0.5
厄尔-克雷顿,36,2.0,0.0,0.0,0.0,0.0,0.0
克里斯-詹特,24,2.3,0.0,0.3,0.0,0.0,0.0
1994NBA总决赛尼克斯 (3-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
帕特里克-尤因,31,44.0,18.9,12.4,1.7,1.3,4.3
约翰-斯塔克斯,28,41.9,17.7,3.1,5.9,1.6,0.1
德里克-哈珀,32,38.0,16.4,3.0,6.0,2.4,0.1
查尔斯-奥克利,30,40.7,11.0,11.9,2.4,1.1,0.1
查尔斯-史密斯,28,26.7,9.3,4.3,1.7,0.6,1.0
安东尼-梅森,27,29.3,8.6,6.9,1.3,0.7,0.0
格雷格-安东尼,26,11.4,3.3,0.9,2.4,0.4,0.1
休波特-戴维斯,23,7.6,1.6,0.4,0.4,0.0,0.2
安东尼-邦纳,25,5.5,2.0,1.0,0.0,0.0,0.0
赫伯-威廉姆斯,35,1.8,0.0,0.0,0.0,0.0,0.3
1993NBA总决赛公牛 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
迈克尔-乔丹,29,45.7,41.0,8.5,6.3,1.7,0.7
斯科蒂-皮蓬,27,44.3,21.2,9.2,7.7,2.0,1.0
B.J. Armstrong,25,41.8,13.5,1.8,5.0,0.8,0.2
霍雷斯-格兰特,27,38.8,11.2,10.3,2.3,1.5,1.5
约翰-帕克森,32,16.0,5.8,1.5,0.8,0.5,0.2
斯格特-威廉姆斯,24,26.5,4.7,6.3,1.7,0.5,1.5
比尔-卡特赖特,35,21.3,4.3,3.2,1.7,0.5,0.2
特伦特-塔克,33,6.8,2.8,0.3,0.7,0.2,0.0
斯塔塞-金,26,8.2,2.2,1.3,0.5,0.3,0.2
罗德尼-麦克雷,31,4.0,0.0,1.0,0.0,0.0,0.0
维尔-佩尔多,27,9.0,0.0,3.0,0.0,0.0,0.0
达内尔-沃克,31,1.7,0.0,0.0,0.3,0.0,0.0
1993NBA总决赛太阳 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
查尔斯-巴克利,29,46.2,27.3,13.0,5.5,1.2,0.5
凯文-约翰逊,26,43.3,17.2,3.0,6.5,1.3,0.3
丹-马尔利,27,46.8,17.2,8.2,3.7,1.3,2.2
理查德-杜马斯,23,26.7,15.8,4.3,1.0,1.3,1.0
丹尼-安吉,33,27.0,8.8,3.0,2.5,0.3,0.0
汤姆-钱伯斯,33,15.3,6.7,3.0,0.5,0.2,0.5
马克-韦斯特,32,21.7,5.7,4.3,0.7,0.0,1.2
奥利弗-米勒,22,17.8,5.0,4.2,1.3,0.7,2.0
弗兰克-约翰逊,34,7.3,3.0,0.3,0.8,0.5,0.0
杰罗德-穆斯塔夫,23,1.0,0.0,0.0,0.0,0.0,0.0
1992NBA总决赛公牛 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
迈克尔-乔丹,28,42.3,35.8,4.8,6.5,1.7,0.3
斯科蒂-皮蓬,26,40.7,20.8,8.3,7.7,1.5,0.7
约翰-帕克森,31,30.8,10.3,0.8,2.7,1.3,0.0
霍雷斯-格兰特,26,37.8,9.2,7.8,4.0,0.8,2.3
比尔-卡特赖特,34,25.2,6.3,4.0,1.5,0.5,0.2
B.J. Armstrong,24,17.8,5.8,0.8,2.3,0.3,0.0
斯格特-威廉姆斯,23,21.3,5.5,6.2,1.0,0.2,1.3
克里夫-莱温斯顿,31,10.8,3.8,2.2,0.7,0.2,0.2
斯塔塞-金,25,12.0,4.5,2.5,0.0,0.3,0.3
鲍伯-汉森,31,8.0,3.2,0.4,0.6,0.2,0.0
克雷格-霍奇思,31,3.0,1.0,0.0,0.0,0.5,0.0
维尔-佩尔多,26,3.3,0.7,1.0,0.0,0.0,0.0
1992NBA总决赛开拓者 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
克莱德-德雷克斯勒,29,39.7,24.8,7.8,5.3,1.3,1.0
特里-波特,28,43.8,16.2,4.3,4.7,1.0,0.3
杰罗姆-克西,29,38.0,14.8,8.7,3.3,1.8,0.2
克利弗德-罗宾逊,25,24.3,10.3,3.0,2.2,0.8,0.7
丹尼-安吉,32,23.0,10.0,2.0,2.5,0.8,0.2
凯文-达克沃斯,27,27.3,9.3,6.8,1.5,0.5,0.7
巴克-威廉姆斯,31,35.2,7.8,7.3,1.0,0.8,0.5
马克-布莱恩特,26,21.0,10.0,5.0,0.0,0.0,0.0
罗波特-派克,22,8.0,2.5,0.5,0.5,0.5,0.0
埃尼斯-威特利,29,5.2,0.8,0.2,0.2,0.6,0.0
阿拉-阿卜杜勒纳比,23,6.0,1.0,2.0,0.0,0.0,0.0
韦恩-库珀,35,8.0,0.0,2.0,0.0,0.0,2.0
1991NBA总决赛公牛 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
迈克尔-乔丹,27,44.0,31.2,6.6,11.4,2.8,1.4
斯科蒂-皮蓬,25,43.6,20.8,9.4,6.6,2.4,1.0
霍雷斯-格兰特,25,39.6,14.6,7.8,1.6,1.6,0.6
约翰-帕克森,30,31.8,13.4,2.0,3.4,1.0,0.0
比尔-卡特赖特,33,32.0,8.8,5.0,2.4,0.6,0.6
克雷格-霍奇思,30,10.6,3.8,0.6,0.2,0.0,0.0
克里夫-莱温斯顿,30,18.0,3.2,2.8,0.6,1.0,1.0
B.J. Armstrong,23,7.4,2.0,0.6,0.8,0.4,0.0
维尔-佩尔多,25,7.4,1.6,2.4,0.2,0.0,0.2
斯格特-威廉姆斯,22,11.3,2.0,2.3,0.8,0.0,0.3
斯塔塞-金,24,3.0,1.0,0.5,0.0,0.0,0.0
丹尼斯-霍普森,25,2.0,0.0,0.0,0.0,0.0,0.0
1991NBA总决赛湖人 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
魔术师约翰逊,31,45.6,18.6,8.0,12.4,1.2,0.0
弗拉德-迪瓦茨,22,41.6,18.2,8.8,2.0,1.8,2.4
萨姆-帕金斯,29,41.2,16.6,7.6,1.0,0.4,1.4
詹姆斯-沃西,29,41.0,19.3,3.0,2.0,1.0,0.0
A.C. Green,27,22.6,5.8,5.6,0.2,0.6,0.0
特里-蒂格,30,14.2,5.0,0.4,0.2,0.6,0.2
埃尔登-坎贝尔,22,11.0,7.7,1.3,0.0,1.0,0.7
拜伦-斯科特,29,35.0,4.5,1.8,1.8,0.8,0.0
托尼-史密斯,22,16.0,6.0,0.5,1.0,0.5,0.0
拉里-德鲁,32,5.0,1.8,0.5,0.0,0.0,0.0
迈克尔-汤普森,36,10.0,0.0,0.0,0.0,0.0,0.0
1990NBA总决赛活塞 (4-1)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
伊赛亚-托马斯,28,38.4,27.6,5.2,7.0,1.6,0.4
乔-杜马斯,26,42.0,20.6,2.8,5.6,0.8,0.0
詹姆斯-爱德华兹,34,27.6,14.4,3.8,0.8,0.4,0.6
比尔-兰比尔,32,38.2,13.2,13.4,2.4,1.4,0.6
文尼-约翰逊,33,22.6,12.2,2.0,1.2,0.2,0.6
马克-阿吉雷,30,24.0,9.6,3.6,0.8,0.4,0.0
约翰-萨利,25,28.6,6.6,6.4,0.4,0.2,2.4
丹尼斯-罗德曼,28,19.8,2.3,5.5,0.8,0.5,0.5
大卫-格林伍德,32,11.0,1.0,3.0,0.0,0.3,0.0
杰拉德-亨德森,34,1.0,1.0,0.0,0.0,0.0,0.0
斯科特-黑斯廷斯,29,2.0,0.0,0.0,0.0,0.0,0.0
1990NBA总决赛开拓者 (1-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
克莱德-德雷克斯勒,27,40.8,26.4,7.8,6.2,1.8,0.2
杰罗姆-克西,27,41.2,19.0,7.0,1.2,0.6,0.6
特里-波特,26,41.2,19.0,2.6,8.4,2.0,0.2
凯文-达克沃斯,25,29.8,15.6,5.6,0.0,0.2,0.4
巴克-威廉姆斯,29,38.4,11.2,9.0,1.8,0.6,0.2
克利弗德-罗宾逊,23,16.4,3.8,2.4,0.8,0.8,0.8
丹尼-杨,27,15.6,3.0,1.4,1.6,0.6,0.2
德拉任-彼得罗维奇,25,7.3,2.5,0.3,0.5,0.3,0.0
韦恩-库珀,33,14.0,1.8,4.0,0.2,0.4,0.8
马克-布莱恩特,24,4.5,0.5,1.0,0.0,0.0,0.0
