0,1,2,3,4,5,6,7
巴姆-阿德巴约,22,33.8,15.3,6.3,2.5,0.3,0.8
凯利-奥利尼克,28,22.8,11.6,6.0,1.4,0.4,0.6
安德烈-伊格达拉,36,19.7,3.2,2.7,2.0,0.3,0.3
迈耶斯-伦纳德,27,11.0,7.0,0.5,0.5,0.5,0.0
所罗门-希尔,28,6.3,3.0,0.8,0.3,0.3,0.0
戈兰-德拉季奇,33,17.0,5.5,3.0,2.5,1.5,0.0
小德里克-琼斯,22,2.5,0.5,0.3,0.0,0.0,0.0
2019NBA总决赛猛龙 (4-2)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
科怀-伦纳德,27,40.5,28.5,9.8,4.2,2.0,1.2
帕斯卡尔-西亚卡姆,24,40.2,19.8,7.5,3.7,0.5,0.7
凯尔-洛瑞,32,38.2,16.2,4.0,7.2,1.7,0.5
弗雷德-范弗利特,24,32.5,14.0,2.7,2.2,1.2,0.0
马克-加索尔,34,28.8,12.0,7.3,2.7,0.5,0.3
赛尔吉-伊巴卡,29,19.3,11.3,5.2,1.0,0.8,1.7
丹尼-格林,31,27.2,7.3,3.5,1.2,1.2,0.5
诺曼-鲍威尔,25,11.0,1.8,1.0,0.7,0.3,0.0
帕特里克-麦考,23,3.0,0.8,0.0,0.5,0.0,0.0
林书豪,30,1.0,0.0,0.0,0.0,0.0,0.0
约迪-米克斯,31,1.0,0.0,0.0,0.0,0.0,0.0
马尔科姆-米勒,25,1.0,0.0,0.0,0.0,0.0,0.0
2019NBA总决赛勇士 (2-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
斯蒂芬-库里,30,41.7,30.5,5.2,6.0,1.5,0.2
克莱-汤普森,28,37.6,26.0,4.8,2.4,0.8,0.0
德雷蒙德-格林,28,41.3,12.5,10.8,9.3,1.7,1.0
安德烈-伊格达拉,35,31.3,9.2,4.5,4.0,1.0,1.5
德马库斯-考辛斯,28,18.0,8.3,4.7,2.3,0.7,1.0
奎因-库克,25,14.7,4.8,0.8,0.8,0.2,0.2
凯文-卢尼,22,20.8,5.8,3.2,1.2,0.4,0.2
肖恩-利文斯顿,33,16.3,4.7,1.5,1.5,0.7,0.2
约纳斯-杰雷布科,31,6.5,3.5,1.3,0.3,0.0,0.0
阿方索-麦金尼,26,9.5,2.2,1.7,0.3,0.0,0.0
安德鲁-博古特,34,9.0,2.4,3.0,0.6,0.2,0.2
凯文-杜兰特,30,12.0,11.0,2.0,0.0,0.0,1.0
乔丹-贝尔,24,6.3,1.5,1.3,0.3,0.0,0.5
雅各布-埃文斯,21,0.7,0.0,0.0,0.0,0.0,0.0
达米安-琼斯,23,2.0,0.0,0.0,0.0,0.0,0.0
2018NBA总决赛勇士 (4-0)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
凯文-杜兰特,29,41.3,28.8,10.8,7.5,0.8,2.3
斯蒂芬-库里,29,40.5,27.5,6.0,6.8,1.5,0.8
克莱-汤普森,27,37.0,16.0,3.8,1.0,0.5,0.3
德雷蒙德-格林,27,41.3,9.3,6.0,8.5,2.0,1.5
贾维尔-麦基,30,13.8,8.0,2.3,0.0,0.0,1.3
肖恩-利文斯顿,32,16.3,7.5,2.8,1.5,0.3,0.0
乔丹-贝尔,23,13.5,5.8,3.3,1.0,0.3,0.5
安德烈-伊格达拉,34,22.5,9.5,2.0,0.5,1.5,1.0
凯文-卢尼,21,9.8,2.5,1.5,0.3,0.3,0.0
扎扎-帕楚里亚,33,3.0,4.0,1.5,0.0,0.0,0.5
大卫-韦斯特,37,7.0,1.8,1.3,1.0,0.0,0.8
尼克-杨,32,9.5,1.3,0.5,0.0,0.0,0.0
奎因-库克,24,2.0,1.0,0.0,0.0,0.0,0.0
帕特里克-麦考,22,2.8,0.5,0.3,0.0,0.3,0.0
2018NBA总决赛骑士 (0-4)球员数据表,,,,,,,
球员,年龄,场均上场时间(分钟),场均得分,场均篮板,场均助攻,场均抢断,场均盖帽
勒布朗-詹姆斯,33,44.8,34.0,8.5,10.0,1.3,1.0
凯文-乐福,29,33.3,19.0,11.3,1.8,1.0,0.3
JR-史密斯,32,32.5,9.5,3.3,1.3,1.3,0.0
乔治-希尔,31,29.3,7.5,2.3,2.3,0.8,0.3
罗德尼-胡德,25,14.0,6.8,3.8,0.8,0.5,0.5
TT.汤普森,26,23.5,6.8,5.3,0.0,0.0,0.8
小拉里-南斯,25,17.0,5.8,7.0,1.5,0.5,0.5
杰夫-格林,31,24.3,5.3,1.3,2.0,0.3,0.3
乔丹-克拉克森,25,12.5,3.0,2.0,0.5,1.0,0.5
凯尔-科沃尔,36,16.3,1.5,1.8,0.8,0.0,0.3
安特-日日奇,21,1.7,2.0,0.3,0.0,0.0,0.0
何塞-卡尔德隆,36,2.7,1.3,1.0,0.7,0.3,0.0
切迪-奥斯曼,22,2.7,1.3,0.3,0.0,0.0,0.0
2017NBA总决赛勇士 (4-1)球员数据表,,,,,,,
